time_s,direct_x_m,direct_y_m,direct_z_m,direct_vx_mps,direct_vy_mps,direct_vz_mps,iter_x_m,iter_y_m,iter_z_m,iter_vx_mps,iter_vy_mps,iter_vz_mps,analytic_x_m,analytic_y_m,analytic_z_m,analytic_vx_mps,analytic_vy_mps,analytic_vz_mps
3.000000000000000000e+03,1.952332525839464506e+04,-8.680960973286191802e+03,0.000000000000000000e+00,-3.165147758560776792e-01,-2.847344176361087165e+00,0.000000000000000000e+00,1.952332525839471782e+04,-8.680960973286188164e+03,0.000000000000000000e+00,-3.165147758560760138e-01,-2.847344176361087609e+00,0.000000000000000000e+00,1.952332525839464870e+04,-8.680960973286193621e+03,0.000000000000000000e+00,-3.165147758560775682e-01,-2.847344176361087165e+00,0.000000000000000000e+00
3.100000000000000000e+03,1.949115498139997726e+04,-8.965462060830337577e+03,0.000000000000000000e+00,-3.268879129122110871e-01,-2.842652360308218551e+00,0.000000000000000000e+00,1.949115498140004274e+04,-8.965462060830332121e+03,0.000000000000000000e+00,-3.268879129122095883e-01,-2.842652360308218551e+00,0.000000000000000000e+00,1.949115498139997362e+04,-8.965462060830337577e+03,0.000000000000000000e+00,-3.268879129122111427e-01,-2.842652360308218107e+00,0.000000000000000000e+00
3.200000000000000000e+03,1.945794825522597966e+04,-9.249486406703501416e+03,0.000000000000000000e+00,-3.372436675859571409e-01,-2.837809385193265754e+00,0.000000000000000000e+00,1.945794825522605606e+04,-9.249486406703499597e+03,0.000000000000000000e+00,-3.372436675859553645e-01,-2.837809385193265754e+00,0.000000000000000000e+00,1.945794825522597966e+04,-9.249486406703503235e+03,0.000000000000000000e+00,-3.372436675859570854e-01,-2.837809385193265754e+00,0.000000000000000000e+00
3.300000000000000000e+03,1.942370684565229021e+04,-9.533018907808904260e+03,0.000000000000000000e+00,-3.475814892063340267e-01,-2.832815508543173433e+00,0.000000000000000000e+00,1.942370684565236297e+04,-9.533018907808900622e+03,0.000000000000000000e+00,-3.475814892063324724e-01,-2.832815508543173433e+00,0.000000000000000000e+00,1.942370684565228657e+04,-9.533018907808904260e+03,0.000000000000000000e+00,-3.475814892063342487e-01,-2.832815508543173433e+00,0.000000000000000000e+00
3.400000000000000000e+03,1.938843257347816325e+04,-9.816044487203771496e+03,0.000000000000000000e+00,-3.579008280559583532e-01,-2.827670995909129736e+00,0.000000000000000000e+00,1.938843257347824328e+04,-9.816044487203769677e+03,0.000000000000000000e+00,-3.579008280559565214e-01,-2.827670995909129292e+00,0.000000000000000000e+00,1.938843257347816325e+04,-9.816044487203771496e+03,0.000000000000000000e+00,-3.579008280559584088e-01,-2.827670995909129292e+00,0.000000000000000000e+00
3.500000000000000000e+03,1.935212731442572840e+04,-1.009854809490109255e+04,0.000000000000000000e+00,-3.682011354002732162e-01,-2.822376120852443826e+00,0.000000000000000000e+00,1.935212731442581207e+04,-1.009854809490108710e+04,0.000000000000000000e+00,-3.682011354002712178e-01,-2.822376120852444270e+00,0.000000000000000000e+00,1.935212731442572840e+04,-1.009854809490109255e+04,0.000000000000000000e+00,-3.682011354002732717e-01,-2.822376120852443826e+00,0.000000000000000000e+00
3.600000000000000000e+03,1.931479299904019354e+04,-1.038051470866986892e+04,0.000000000000000000e+00,-3.784818635167295220e-01,-2.816931164930003284e+00,0.000000000000000000e+00,1.931479299904027721e+04,-1.038051470866986347e+04,0.000000000000000000e+00,-3.784818635167271905e-01,-2.816931164930003728e+00,0.000000000000000000e+00,1.931479299904019717e+04,-1.038051470866987074e+04,0.000000000000000000e+00,-3.784818635167294665e-01,-2.816931164930003284e+00,0.000000000000000000e+00
3.700000000000000000e+03,1.927643161258721739e+04,-1.066192933483396519e+04,0.000000000000000000e+00,-3.887424657239102466e-01,-2.811336417679297650e+00,0.000000000000000000e+00,1.927643161258730106e+04,-1.066192933483395973e+04,0.000000000000000000e+00,-3.887424657239079151e-01,-2.811336417679298094e+00,0.000000000000000000e+00,1.927643161258721375e+04,-1.066192933483396700e+04,0.000000000000000000e+00,-3.887424657239102466e-01,-2.811336417679297650e+00,0.000000000000000000e+00
3.800000000000000000e+03,1.923704519494731358e+04,-1.094277700906938117e+04,0.000000000000000000e+00,-3.989823964106014031e-01,-2.805592176603025845e+00,0.000000000000000000e+00,1.923704519494740453e+04,-1.094277700906937025e+04,0.000000000000000000e+00,-3.989823964105989607e-01,-2.805592176603026289e+00,0.000000000000000000e+00,1.923704519494731721e+04,-1.094277700906937753e+04,0.000000000000000000e+00,-3.989823964106014587e-01,-2.805592176603025845e+00,0.000000000000000000e+00
3.900000000000000000e+03,1.919663584050742793e+04,-1.122304279719997248e+04,0.000000000000000000e+00,-4.092011110648043903e-01,-2.799698747153273271e+00,0.000000000000000000e+00,1.919663584050751888e+04,-1.122304279719996703e+04,0.000000000000000000e+00,-4.092011110648016148e-01,-2.799698747153273715e+00,0.000000000000000000e+00,1.919663584050743157e+04,-1.122304279719997430e+04,0.000000000000000000e+00,-4.092011110648042793e-01,-2.799698747153273271e+00,0.000000000000000000e+00
4.000000000000000000e+03,1.915520569804952538e+04,-1.150271179599162315e+04,0.000000000000000000e+00,-4.193980663026901645e-01,-2.793656442715271915e+00,0.000000000000000000e+00,1.915520569804960905e+04,-1.150271179599162133e+04,0.000000000000000000e+00,-4.193980663026873890e-01,-2.793656442715272359e+00,0.000000000000000000e+00,1.915520569804952174e+04,-1.150271179599162679e+04,0.000000000000000000e+00,-4.193980663026901645e-01,-2.793656442715271915e+00,0.000000000000000000e+00
4.100000000000000000e+03,1.911275697063631378e+04,-1.178176913394469921e+04,0.000000000000000000e+00,-4.295727198974956806e-01,-2.787465584590733680e+00,0.000000000000000000e+00,1.911275697063640473e+04,-1.178176913394469193e+04,0.000000000000000000e+00,-4.295727198974924610e-01,-2.787465584590734569e+00,0.000000000000000000e+00,1.911275697063631378e+04,-1.178176913394469921e+04,0.000000000000000000e+00,-4.295727198974954586e-01,-2.787465584590733680e+00,0.000000000000000000e+00
4.200000000000000000e+03,1.906929191549417010e+04,-1.206019997208483801e+04,0.000000000000000000e+00,-4.397245308083539417e-01,-2.781126501980767607e+00,0.000000000000000000e+00,1.906929191549426469e+04,-1.206019997208482710e+04,0.000000000000000000e+00,-4.397245308083509441e-01,-2.781126501980768495e+00,0.000000000000000000e+00,1.906929191549417010e+04,-1.206019997208483437e+04,0.000000000000000000e+00,-4.397245308083540527e-01,-2.781126501980768051e+00,0.000000000000000000e+00
4.300000000000000000e+03,1.902481284389303255e+04,-1.233798950475203492e+04,0.000000000000000000e+00,-4.498529592090683149e-01,-2.774639531968372097e+00,0.000000000000000000e+00,1.902481284389312714e+04,-1.233798950475202582e+04,0.000000000000000000e+00,-4.498529592090649287e-01,-2.774639531968372985e+00,0.000000000000000000e+00,1.902481284389302891e+04,-1.233798950475203310e+04,0.000000000000000000e+00,-4.498529592090682039e-01,-2.774639531968372097e+00,0.000000000000000000e+00
4.400000000000000000e+03,1.897932212102353515e+04,-1.261512296038794193e+04,0.000000000000000000e+00,-4.599574665168133514e-01,-2.768005019500511921e+00,0.000000000000000000e+00,1.897932212102363337e+04,-1.261512296038793465e+04,0.000000000000000000e+00,-4.599574665168098542e-01,-2.768005019500512809e+00,0.000000000000000000e+00,1.897932212102353515e+04,-1.261512296038794375e+04,0.000000000000000000e+00,-4.599574665168132959e-01,-2.768005019500511921e+00,0.000000000000000000e+00
